text,word,lime_score,predicted_label,true_label,is_correct
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,reels,0.34691840025714177,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,expectations,0.2029088870569676,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,JPMorgan,0.16717988566862987,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,bd0xbFGjkT,0.1550022282930948,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,Meat,-0.08009693236379575,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,Beyond,-0.0685726374458071,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,https,-0.05325061106541961,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,t,-0.05033451924629286,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,co,0.032665922376249434,negative,negative,True
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,BYND,0.029605280306698834,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,weakness,0.6562303787800357,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,at,0.40822009791308844,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,Carnival,-0.10788167257014909,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,and,0.06839772758920311,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,co,-0.0634246315472613,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,CCL,0.05875090761798848,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,Nomura,0.05313899162173524,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,t,0.039486451780967935,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,Caribbean,-0.03909149189955095,negative,negative,True
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,bookings,0.02848216039918123,negative,negative,True
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",weak,0.48054214896429315,negative,negative,True
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",cut,0.22758744967396943,negative,negative,True
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",outlook,0.10004083727559857,negative,negative,True
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",https,0.08776188854640325,negative,negative,True
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",KN1g4AWFIb,0.07264066800338943,negative,negative,True
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",building,0.07064607472766561,negative,negative,True
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",at,0.05213193579294843,negative,negative,True
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",co,0.04736910544642842,negative,negative,True
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",t,-0.04581642466519401,negative,negative,True
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",J,-0.03805413507484156,negative,negative,True
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,slides,0.3878373332909595,negative,negative,True
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,after,0.3353976561884242,negative,negative,True
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,cut,0.22480313197505086,negative,negative,True
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,https,0.11699781064269461,negative,negative,True
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,Funko,0.0802812818886506,negative,negative,True
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,Jaffray,-0.06761481801889552,negative,negative,True
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,PT,0.061749448130583896,negative,negative,True
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,z37IJmCQzB,0.042042843688403976,negative,negative,True
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,Piper,-0.037517700665832446,negative,negative,True
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,FNKO,-0.030637772370862428,negative,negative,True
$GM - GM loses a bull https://t.co/tdUfG5HbXy,loses,0.5848120012008151,negative,negative,True
$GM - GM loses a bull https://t.co/tdUfG5HbXy,GM,0.2877762304483408,negative,negative,True
$GM - GM loses a bull https://t.co/tdUfG5HbXy,tdUfG5HbXy,0.16665345260178993,negative,negative,True
$GM - GM loses a bull https://t.co/tdUfG5HbXy,https,0.0514646161269709,negative,negative,True
$GM - GM loses a bull https://t.co/tdUfG5HbXy,a,0.04951747675553015,negative,negative,True
$GM - GM loses a bull https://t.co/tdUfG5HbXy,t,0.03547572706365206,negative,negative,True
$GM - GM loses a bull https://t.co/tdUfG5HbXy,bull,0.027491854727573005,negative,negative,True
$GM - GM loses a bull https://t.co/tdUfG5HbXy,co,0.017819650816913134,negative,negative,True
$GTT: Cowen cuts to Market Perform,cuts,0.47783511437115955,negative,negative,True
$GTT: Cowen cuts to Market Perform,to,-0.2444677614258638,negative,negative,True
